id,user_id,foods_id,food_name,count,date,food_calories,food_carbs,food_protein,food_fats
511,15,,Oatmeal,150.0,2024-11-15 08:00:00,1.5,0.27,0.05,0.03
512,15,,Banana,120.0,2024-11-18 10:00:00,0.89,0.23,0.01,0.003
513,15,,Grilled Chicken,200.0,2024-11-18 13:00:00,2.3,0.0,0.31,0.05
514,15,,Sweet Potato,150.0,2024-11-18 13:00:00,0.86,0.2,0.02,0.003
515,15,,Salmon,180.0,2024-11-18 13:00:00,2.0,0.0,0.25,0.13
516,15,,Greek Yogurt,200.0,2024-11-19 13:00:00,0.59,0.04,0.1,0.03
517,15,,Whole Grain Toast,60.0,2024-11-19 13:00:00,2.5,0.45,0.13,0.04
518,15,,Tuna Sandwich,250.0,2024-11-19 13:00:00,2.0,0.25,0.2,0.1
519,15,,Apple,180.0,2024-11-19 13:00:00,0.52,0.14,0.003,0.002
520,15,,Spaghetti Bolognese,350.0,2024-11-19 13:00:00,1.5,0.3,0.08,0.05
521,15,,Scrambled Eggs,150.0,2024-11-20 13:00:00,1.48,0.01,0.13,0.1
522,15,,Avocado Toast,180.0,2024-11-20 13:00:00,2.4,0.2,0.06,0.22
523,15,,Chicken Caesar Salad,300.0,2024-11-20 13:00:00,1.2,0.1,0.15,0.08
524,15,,Protein Bar,60.0,2024-11-20 13:00:00,3.5,0.4,0.2,0.1
525,15,,Stir-Fried Rice,300.0,2024-11-20 13:00:00,1.3,0.28,0.05,0.03
526,15,,Pancakes,150.0,2024-11-21 13:00:00,2.0,0.35,0.06,0.08
527,15,,Orange Juice,200.0,2024-11-21 13:00:00,0.45,0.11,0.001,0.001
528,15,,Turkey Sandwich,250.0,2024-11-21 13:00:00,1.8,0.25,0.15,0.07
529,15,,Carrot Sticks,100.0,2024-11-21 13:00:00,0.41,0.1,0.01,0.002
530,15,,Beef Stir Fry,300.0,2024-11-21 13:00:00,2.5,0.15,0.2,0.12
531,15,,Smoothie,250.0,2024-11-22 13:00:00,0.8,0.2,0.03,0.01
532,15,,Egg Salad,150.0,2024-11-22 13:00:00,1.5,0.02,0.1,0.12
533,15,,Grilled Cheese,200.0,2024-11-22 13:00:00,2.5,0.3,0.15,0.2
534,15,,Fruit Salad,150.0,2024-11-22 13:00:00,0.5,0.12,0.01,0.002
535,15,,Chicken Curry,300.0,2024-11-22 13:00:00,1.8,0.25,0.18,0.1
536,15,,Cereal,100.0,2024-11-23 13:00:00,1.1,0.25,0.02,0.01
537,15,,Milk,200.0,2024-11-23 13:00:00,0.5,0.05,0.03,0.02
538,15,,Ham Sandwich,250.0,2024-11-23 13:00:00,2.0,0.3,0.15,0.1
539,15,,Yogurt,150.0,2024-11-23 13:00:00,0.6,0.08,0.05,0.03
540,15,,Pasta,300.0,2024-11-23 13:00:00,1.5,0.35,0.07,0.04
541,15,,Bagel with Cream Cheese,150.0,2024-11-24 13:00:00,2.5,0.45,0.1,0.15
542,15,,Apple,180.0,2024-11-24 13:00:00,0.52,0.14,0.003,0.002
543,15,,Chicken Wrap,250.0,2024-11-24 13:00:00,1.8,0.25,0.15,0.07
544,15,,Mixed Nuts,50.0,2024-11-24 13:00:00,3.0,0.2,0.1,0.25
545,15,,Steak and Vegetables,300.0,2024-11-24 13:00:00,2.5,0.15,0.2,0.12
546,15,,Toast with Avocado,150.0,2024-11-25 13:00:00,2.4,0.2,0.06,0.22
547,15,,Orange,130.0,2024-11-25 13:00:00,0.47,0.12,0.01,0.002
548,15,,Quinoa Salad,200.0,2024-11-25 13:00:00,1.2,0.21,0.04,0.02
549,15,,Granola Bar,60.0,2024-11-25 13:00:00,3.5,0.4,0.2,0.1
550,15,,Grilled Fish,250.0,2024-11-25 13:00:00,2.0,0.0,0.25,0.13
551,15,,Porridge,200.0,2024-11-26 13:00:00,1.0,0.2,0.03,0.01
552,15,,Berries,100.0,2024-11-26 13:00:00,0.5,0.12,0.01,0.002
553,15,,Turkey and Cheese Sandwich,250.0,2024-11-26 13:00:00,2.0,0.3,0.15,0.1
554,15,,Hummus and Veggies,150.0,2024-11-26 13:00:00,1.0,0.15,0.05,0.05
555,15,,Beef Tacos,300.0,2024-11-26 13:00:00,2.5,0.35,0.2,0.15
556,15,,French Toast,150.0,2024-11-27 13:00:00,2.0,0.35,0.06,0.08
557,15,,Pear,150.0,2024-11-27 13:00:00,0.57,0.15,0.01,0.002
558,15,,Chicken Burrito,300.0,2024-11-27 13:00:00,1.8,0.25,0.15,0.07
